company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
Ruangguru,Sales Trainee Academy by Ruangguru (Field Education Consultant) - Payakumbuh (Simpang Benteng),Magang,On-site,Payakumbuh,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2413
Ruangguru,Branch Manager - Bulukumba (Sulawesi Selatan),Penuh waktu,On-site,Bulukumba Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Direct all sales and marketing initiatives in branch', 'Assess local market condition, identify current and prospective sales opportunities', 'Assess the competitor’s pricing and sales initiatives', 'Fulfill goals and metrics (NPS, improve grades)', 'Collaborate with Sales Team in driving sales', 'Direct and oversee all facilities and operational aspects, including product\xa0distribution (modul, merchandise, apps access)', 'Oversee customer experience (end to end customer journey)', 'Coordinate and manage branch staff (admin, teachers, security, office boy)', 'Collaborate with Product Team for application-related matter', 'Direct and monitor the academic process in branch (scheduling, quality control, pedagogy,\xa0class\xa0rating)']","['Bachelor’s Degree from any major in any reputable university.', 'years leadership experience in Sales & Marketing/Business Development/Business Operations (will be advantaged from educational and/or start-up company).', 'Good communication skills in Bahasa Indonesia and English.', 'Detail and customer service oriented.', 'Have good knowledge in people management.', 'Have a bit of knowledge or experience in K-12 Education (SD,\xa0SMP,\xa0SMA\xa0Grade)']",2414
Ruangguru,Branch Manager - Bima (Nusa Tenggara Barat),Penuh waktu,On-site,Bima,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Direct all sales and marketing initiatives in branch', 'Assess local market condition, identify current and prospective sales opportunities', 'Assess the competitor’s pricing and sales initiatives', 'Fulfill goals and metrics (NPS, improve grades)', 'Collaborate with Sales Team in driving sales', 'Direct and oversee all facilities and operational aspects, including product\xa0distribution (modul, merchandise, apps access)', 'Oversee customer experience (end to end customer journey)', 'Coordinate and manage branch staff (admin, teachers, security, office boy)', 'Collaborate with Product Team for application-related matter', 'Direct and monitor the academic process in branch (scheduling, quality control, pedagogy,\xa0class\xa0rating)']","['Bachelor’s Degree from any major in any reputable university.', 'years leadership experience in Sales & Marketing/Business Development/Business Operations (will be advantaged from educational and/or start-up company).', 'Good communication skills in Bahasa Indonesia and English.', 'Detail and customer service oriented.', 'Have good knowledge in people management.', 'Have a bit of knowledge or experience in K-12 Education (SD,\xa0SMP,\xa0SMA\xa0Grade)']",2415
Ruangguru,(Talent Pool) Sales Trainee Academy by Ruangguru (Field Education Consultant) - Bengkulu Utara,Magang,On-site,Bengkulu Utara Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2416
Ruangguru,Guru SMA & UTBK Bengkulu Utara - Sumatra,Freelance,On-site,Bengkulu Utara Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten!', 'Bergabunglah dengan kami sebagai Master Teacher Ruangguru di ', 'Setelah apply di Dealls kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia', 'Tugas dan tanggung jawab pengajar Akademia', 'Keuntungan lain mengajar di Akademia by Ruangguru']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisili di sekitar cabang Ruangguru Learning Center']",2417
Ruangguru,Sales Trainee Academy by Ruangguru (Field Education Consultant) - Tarakan (Jend. Sudirman),Magang,On-site,Tarakan,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2418
Ruangguru,Guru SMA & UTBK - Sragen,Freelance,On-site,Sragen Regency,Min. Freshgrad,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten!', 'Bergabunglah dengan kami sebagai Master Teacher: ', 'untuk Brain Academy Center by Ruangguru di ', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Brain Academy Center', 'Jam kerja fleksibel', 'Fee kompetitif', 'Berkesempatan mengajar di berbagai produk Ruangguru', 'Program coaching & trainig', 'Menjadi bagian dari komunitas pengajar Akademia']",2419
Ruangguru,Sales Trainee Academy by Ruangguru (Field Education Consultant) - Tana Toraja (Makale),Magang,On-site,Tana Toraja Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2420
Ruangguru,Sales Trainee Academy Denpasar - Melati,Magang,On-site,Denpasar,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Ruangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Sales Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!', '']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2421
Ruangguru,Branch Manager - Ketapang (Kalimantan Barat),Penuh waktu,On-site,Ketapang Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Direct all sales and marketing initiatives in branch', 'Assess local market condition, identify current and prospective sales opportunities', 'Assess the competitor’s pricing and sales initiatives', 'Fulfill goals and metrics (NPS, improve grades)', 'Collaborate with Sales Team in driving sales', 'Direct and oversee all facilities and operational aspects, including product\xa0distribution (modul, merchandise, apps access)', 'Oversee customer experience (end to end customer journey)', 'Coordinate and manage branch staff (admin, teachers, security, office boy)', 'Collaborate with Product Team for application-related matter', 'Direct and monitor the academic process in branch (scheduling, quality control, pedagogy,\xa0class\xa0rating)']","['Bachelor’s Degree from any major in any reputable university.', 'years leadership experience in Sales & Marketing/Business Development/Business Operations (will be advantaged from educational and/or start-up company).', 'Good communication skills in Bahasa Indonesia and English.', 'Detail and customer service oriented.', 'Have good knowledge in people management.', 'Have a bit of knowledge or experience in K-12 Education (SD,\xa0SMP,\xa0SMA\xa0Grade)']",2422
Ruangguru,Guru SMA & UTBK - Kabupaten Boyolali,Freelance,On-site,Boyolali Regency,Min. Freshgrad,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten!', 'Bergabunglah dengan kami sebagai Master Teacher: ', 'untuk Brain Academy Center by Ruangguru di ', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Brain Academy Center', 'Jam kerja fleksibel', 'Fee kompetitif', 'Berkesempatan mengajar di berbagai produk Ruangguru', 'Program coaching & trainig', 'Menjadi bagian dari komunitas pengajar Akademia']",2423
Ruangguru,Branch Manager English Academy - Grobogan - Purwodadi,Penuh waktu,On-site,Grobogan Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Coordinate and manage branches within the regional area, ensuring smooth operations and overseeing the academic process', 'Lead all activity initiatives within branches, including events, promotions, and other marketing efforts aimed at driving student engagement and enrollment', 'Demonstrate a comprehensive understanding of Profit and Loss (PnL) management, including evaluating local market conditions and identifying current and potential sales opportunities to optimize revenue', 'Oversee the entire customer experience, managing the end-to-end customer journey to ensure satisfaction and foster loyalty']","['Bachelor’s Degree in any major', 'Leadership experience in Sales & Marketing/Business Development/Business Operations (experience in an English course/educational/start-up environment is advantageous)', 'Good knowledge of people management and experience in handling a team', 'Strong communication skills in Bahasa Indonesia and English', 'Previous experience as an English teacher is desirable']",2424
Ruangguru,(Talent Pool) Sales Trainee Academy by Ruangguru (Field Education Consultant) - Karimun,Magang,On-site,Karimun Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2425
Ruangguru,Master Teacher - Kabupaten Pandeglang,Paruh waktu,On-site,Pandeglang Regency,Min. Freshgrad,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten! Bergabunglah dengan kami sebagai Master Teacher Ruangguru di kota anda!', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Ruangguru Learning Center']",2426
Ruangguru,Master Teacher English Academy - Jayapura - Padang Bulan,Paruh waktu,On-site,Jayapura,Min. Freshgrad,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Plan and deliver high-quality English lessons to students ranging from young learners to adults. Maximum 25 teaching hours per week.', 'Develop engaging and interactive lesson plans that cater to the needs and proficiency levels of students.', 'Utilize a variety of teaching techniques and materials to facilitate learning and encourage student participation.', 'Provide constructive feedback and support to students to help them achieve their learning goals.', ""Assess and monitor students' progress, providing regular reports and updates."", 'Maintain accurate records of student attendance, progress, and performance.', 'Prepare and administer tests, quizzes, and other assessment tools.', 'Collaborate with administrative staff to ensure smooth operation of classes and adherence to schedules.', 'Handle classroom management, ensuring a positive and conducive learning environment.', 'Mentor and support freelance teachers, providing guidance on lesson planning, classroom management, and teaching techniques.', ""Conduct regular observations of freelance teachers' classes, offering feedback and actionable advice to improve their teaching performance."", ""Ensure freelance teachers adhere to English Academy's teaching standards and policies.""]","[""Bachelor's degree in English, Education, or a related field"", 'TOEFL, TESOL, or CELTA certification.', 'Proven ability to mentor and support other teachers.', 'Excellent communication and interpersonal skills.', 'Strong organizational and time-management abilities.', 'Commitment to continuous professional development and staying updated with the latest teaching\xa0methodologies']",2427
Ruangguru,Sales Trainee Academy by Ruangguru (Field Education Consultant) - Kuburaya (Serdam),Magang,On-site,Kubu Raya Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2428
Ruangguru,Sales Trainee Academy - Lampung (Liwa),Magang,Hybrid,Lampung Barat Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Ruangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Sales Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!', '']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2429
Ruangguru,Sales Trainee Academy by Ruangguru (Field Education Consultant) - Toraja Utara (Poros Bolu),Magang,On-site,Toraja Utara Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2430
Ruangguru,Master Teacher - Kabupaten Padang Pariaman,Paruh waktu,On-site,Padang Pariaman Regency,Min. Freshgrad,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten! Bergabunglah dengan kami sebagai Master Teacher Ruangguru di kota anda!', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Ruangguru Learning Center']",2431
Ruangguru,Master Teacher - Kabupaten Blora,Paruh waktu,On-site,Blora Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten! Bergabunglah dengan kami sebagai Master Teacher Ruangguru di Kabupaten Blora!', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Ruangguru Learning Center']",2432
